date,GPP.daily,GPP.daily.lower,GPP.daily.upper,ER.daily,ER.daily.lower,ER.daily.upper,K600.daily,K600.daily.lower,K600.daily.upper,warnings,errors
2022-02-20,2.1514387995811544,0.5731849069288437,3.7296926922334652,-0.37358352936767747,-3.6072118778014826,2.860044819066127,1.7106999661626046,-0.035996407967109345,3.4573963402923185,overall warnings,
2022-02-21,1.1781123561539655,-0.40886576040192235,2.7650904727098533,-0.15862752571781708,-3.3188107008266443,3.0015556493910105,2.111942811960159,-0.23887722688539226,4.46276285080571,overall warnings,
2022-02-22,0.9246636646094414,-0.6593235798493525,2.508650909068235,0.35333884043865404,-2.5211324963276778,3.227810177204986,1.4421841471451813,0.07751766980410157,2.8068506244862608,overall warnings,
2022-02-23,1.939368110483742,0.36328965070354147,3.5154465702639426,-0.615957050330262,-3.330472832305735,2.098558731645211,1.7436979490886666,0.03490258381167188,3.452493314365661,overall warnings,
2022-02-24,0.6613111559836721,-0.9703633651058804,2.2929856770732244,0.3133746727257189,-2.7444722636009495,3.371221609052387,2.1133133913250695,-0.22416732696501995,4.450794109615159,overall warnings,
2022-02-25,1.549564397660066,-0.09558609968854626,3.194714895008678,-0.5313508973155424,-3.738243052779601,2.675541258148516,2.2370499638673627,-0.30432652833398555,4.778426456068711,overall warnings,
2022-02-26,-0.07064783832730943,-1.693084990919337,1.5517893142647181,1.1243650906700693,-1.7946984048662888,4.043428586206428,1.5950237031373438,0.01176780907431696,3.178279597200371,overall warnings,
2022-02-27,0.3381702353389795,-1.3325712590933751,2.0089117297713344,1.0266931925164757,-2.179252314592892,4.232638699625843,2.0093006889438203,-0.1209228069948316,4.139524184882472,overall warnings,
2022-02-28,1.4353544465301669,-0.2538144155650577,3.1245233086253914,-0.137544770615253,-3.2482859050534727,2.9731963638229666,1.5920873054829205,0.009033084533780045,3.175141526432061,overall warnings,
2022-03-01,1.3711076012833148,-0.30901027788908775,3.0512254804557175,-0.14743145076624434,-3.3652533634999005,3.0703904619674116,1.8219661357952093,-0.06138282060334532,3.705315092193764,overall warnings,
2022-03-02,1.0061367761087698,-0.6714332336499764,2.683706785867516,0.1531734293665593,-3.041329636471999,3.3476764952051177,1.8023515285817682,-0.03198621845385552,3.6366892756173916,overall warnings,
2022-03-03,1.3967081810803972,-0.2171459201386421,3.0105622822994365,-0.47164281882638076,-3.4993016360795677,2.5560159984268065,1.7897677328371304,-0.027465888984583575,3.6070013546588444,overall warnings,
2022-03-04,3.3533382874467175,1.7498981978984827,4.9567783769949525,-3.4926466604893385,-6.399082100112146,-0.5862112208665313,1.5637818396716594,0.0887169531940557,3.038846726149263,overall warnings,
2022-03-05,2.5640937275264015,0.922046717267085,4.206140737785718,-0.0949377310961419,-2.9326094026956238,2.7427339405033404,1.0069348674682626,0.16095796626258752,1.8529117686739376,overall warnings,
2022-03-06,2.423861488675643,0.8174678939039399,4.030255083447346,-0.7420073711157951,-3.948043098832119,2.464028356600529,1.418797035744458,0.11537894313107877,2.722215128357837,overall warnings,
2022-03-07,0.5268517683999568,-1.1944418907024925,2.248145427502406,1.68672705608713,-1.2893567026208408,4.662810814795101,1.231843240229498,0.11207049838737793,2.3516159820716185,overall warnings,
2022-03-08,0.9723819702134607,-0.7358977156728513,2.680661656099773,0.3505319629425379,-3.2230610258427532,3.924124951727829,1.7041785378673766,-0.1679710148394704,3.576328090574224,overall warnings,
2022-03-09,0.7298716675351342,-0.9570826721602852,2.4168260072305534,0.8834963775337981,-3.033880884823155,4.800873639890751,3.0563992972468084,-0.5350491077267248,6.647847702220341,overall warnings,
2022-03-10,0.07575212885136179,-1.6305026802245433,1.782006937927267,1.4193581374916717,-1.802387114657547,4.64110338964089,1.8241148170960526,0.015094888001305984,3.633134746190799,overall warnings,
2022-03-11,1.5492108441223549,0.024286617622196305,3.0741350706225132,-1.4322509609767418,-3.961043880029872,1.0965419580763889,4.587515836309939,-0.48029737717671583,9.655329049796595,overall warnings,
2022-03-12,0.5453960552635394,-1.1680143297818022,2.258806440308881,1.2808188615321952,-1.7019424634113796,4.26358018647577,2.0207389609222424,-0.12657824630997228,4.1680561681544575,overall warnings,
2022-03-13,0.8067219593299847,-0.8754625131786334,2.4889064318386027,0.030256194971143922,-3.542868315990054,3.6033807059323415,3.4001407461300897,-0.946604430787958,7.746885923048137,overall warnings,
2022-03-14,1.8031914106323397,0.19087516131929072,3.415507659945389,-1.2295131292961432,-4.040541998268257,1.5815157396759705,2.340126110451407,-0.06449891014622322,4.744751131049037,overall warnings,
2022-03-15,0.9144952864198421,-0.794775642943981,2.6237662157836654,0.851220512380165,-2.096529127700237,3.798970152460567,1.5138612011115915,0.11464345868231773,2.9130789435408655,overall warnings,
2022-03-16,1.495353768075881,-0.1846508370117621,3.175358373163524,-0.6605237838897441,-3.778700094753894,2.4576525269744054,2.442112854060963,-0.23579313779592814,5.120018845917855,overall warnings,
2022-03-17,3.855596891545542,2.223801017268867,5.487392765822217,-3.0925529092673694,-5.788306452385196,-0.3967993661495428,1.5546030234667951,0.15511279933905842,2.954093247594532,overall warnings,
